condition,source_case_id,source_title,cited_case_id,cited_title,rank,resolvable_count
original,4,Sustainable Development and Resilient Infrastructure,73,"Public Safety, Health, and Welfare:  Avoiding Rolling Blackouts",102,5
original,4,Sustainable Development and Resilient Infrastructure,13,Sustainability -  Lawn Irrigation Design,4,5
original,4,Sustainable Development and Resilient Infrastructure,123,Engineer’s Obligation to Consider Feasible Options,72,5
original,4,Sustainable Development and Resilient Infrastructure,124,Public Criticism of Proposed Public Highway Route,97,5
original,4,Sustainable Development and Resilient Infrastructure,125,Endorsement of Project by Local Chapter,96,5
original,5,Community Engagement for Infrastructure Projects,90,Case Number 60-3,59,5
original,5,Community Engagement for Infrastructure Projects,91,Gifts To Foreign Officials - Application Of Code Of Ethics To Non-U.S. Engineers,90,5
original,5,Community Engagement for Infrastructure Projects,92,Whistleblowing - City Engineer,26,5
original,5,Community Engagement for Infrastructure Projects,93,Withholding Information Useful to Client/Public Agency,13,5
original,5,Community Engagement for Infrastructure Projects,73,"Public Safety, Health, and Welfare:  Avoiding Rolling Blackouts",116,5
original,6,Public Contracting Practices,117,Selection of Firm—Promise of Future Engineering Work on a Public Project,1,6
original,6,Public Contracting Practices,118,Protest of Low Fee Proposal,16,6
original,6,Public Contracting Practices,56,Unlicensed Practice by Nonengineers with “Engineer” in Job Titles,15,6
original,6,Public Contracting Practices,10,Post-Public Employment - City Engineer Transitioning to Consultant,13,6
original,6,Public Contracting Practices,102,Case Number 58-1,66,6
original,6,Public Contracting Practices,60,Misrepresentation of  Qualifications,20,6
original,7,Use of Artificial Intelligence in Engineering Practice,120,Use Of Cadd System,1,2
original,7,Use of Artificial Intelligence in Engineering Practice,121,Use Of CD-ROM For Highway Design,33,2
original,8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,18,Professional Responsibility if  Appropriate Authority Fails to Act,2,11
original,8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,76,"Public Health, Safety, and Welfare—Drinking Water Quality",8,11
original,8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,72,Public Welfare - Knowledge of Information Damaging to Client's Interest,17,11
original,8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,82,Criticism of Engineering in Products,97,11
original,8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,83,Sustainable Development—Threatened Species,85,11
original,8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,84,Duty To Report Safety Violations,66,11
original,8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,85,"Incomplete Plans and Specifications – Engineer, Government, and Contractor Responsibilities",28,11
original,8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,86,Public Welfare—Client Action Following Engineers Services,10,11
original,8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,87,Public Health and Safety—Building Codes to Address Environmental Risk,4,11
original,8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,88,"Public Health, Safety, and  Welfare–Climate Change Induced Conditions",23,11
original,8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,89,"Engineer's Recommendation For Full-Time, On-Site Project Representative",27,11
original,9,Acknowledging Errors in Design,100,Duty To Report Unrelated Information Observed During Rendering Of Services,6,3
original,9,Acknowledging Errors in Design,88,"Public Health, Safety, and  Welfare–Climate Change Induced Conditions",90,3
original,9,Acknowledging Errors in Design,74,Professional Competence In Current Structural Design,11,3
original,10,Post-Public Employment - City Engineer Transitioning to Consultant,102,Case Number 58-1,28,6
original,10,Post-Public Employment - City Engineer Transitioning to Consultant,103,Conflict of Interest - Part-Time Service as City Engineer,27,6
original,10,Post-Public Employment - City Engineer Transitioning to Consultant,104,Conflict of Interest - Municipal Engineer,41,6
original,10,Post-Public Employment - City Engineer Transitioning to Consultant,105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,15,6
original,10,Post-Public Employment - City Engineer Transitioning to Consultant,75,Obligation to Former Employer and  Former Client Following Acceptance of Position with State,86,6
original,10,Post-Public Employment - City Engineer Transitioning to Consultant,106,Confidentiality of Competitor Information Submitted to Government Agency,6,6
original,11,Excess Stormwater Runoff,75,Obligation to Former Employer and  Former Client Following Acceptance of Position with State,51,4
original,11,Excess Stormwater Runoff,107,Expert Witness—Discovery of New Data Following Submission of Report,45,4
original,11,Excess Stormwater Runoff,71,Failure To Include Information In Engineering Report,47,4
original,11,Excess Stormwater Runoff,108,Use Of Broad Indemnification Clause For Pollution Services,67,4
original,12,Competence in Design Services,74,Professional Competence In Current Structural Design,9,3
original,12,Competence in Design Services,109,Competence To Certify Arms Storage Rooms,16,3
original,12,Competence in Design Services,110,Competence To Perform Foundation Design,72,3
original,13,Sustainability -  Lawn Irrigation Design,94,Failure to Disclose Full Impact of Development,19,3
original,13,Sustainability -  Lawn Irrigation Design,83,Sustainable Development—Threatened Species,1,3
original,13,Sustainability -  Lawn Irrigation Design,123,Engineer’s Obligation to Consider Feasible Options,79,3
original,14,"Providing Incomplete, Self-Serving Advice",71,Failure To Include Information In Engineering Report,10,2
original,14,"Providing Incomplete, Self-Serving Advice",85,"Incomplete Plans and Specifications – Engineer, Government, and Contractor Responsibilities",3,2
original,15,Independence of  Peer Reviewer,96,Conflict of Interest—Peer Reviewer Participating on Subsequent Joint Venture,2,3
original,15,Independence of  Peer Reviewer,181,Peer Review - Confidentiality Agreements,1,3
original,15,Independence of  Peer Reviewer,126,Appropriate Notification And Review Of Another Engineer's Work,5,3
original,16,Impaired Engineering,111,Misrepresentation - Changes Made to Engineer’s Report,1,2
original,16,Impaired Engineering,112,Public Health Safety and Welfare—Engineering Standards,79,2
original,17,Siting a Truck Stop,113,Public Criticism - Environmental Concerns,11,4
original,17,Siting a Truck Stop,114,Conflicting Engineering Opinions,32,4
original,17,Siting a Truck Stop,76,"Public Health, Safety, and Welfare—Drinking Water Quality",10,4
original,17,Siting a Truck Stop,71,Failure To Include Information In Engineering Report,28,4
original,18,Professional Responsibility if  Appropriate Authority Fails to Act,72,Public Welfare - Knowledge of Information Damaging to Client's Interest,8,3
original,18,Professional Responsibility if  Appropriate Authority Fails to Act,84,Duty To Report Safety Violations,58,3
original,18,Professional Responsibility if  Appropriate Authority Fails to Act,76,"Public Health, Safety, and Welfare—Drinking Water Quality",1,3
original,19,Duty to Report Misconduct,72,Public Welfare - Knowledge of Information Damaging to Client's Interest,33,2
original,19,Duty to Report Misconduct,116,Duty To Report Violation—Anonymous Complaint,9,2
original,20,Review of Other  Engineer’s Work,126,Appropriate Notification And Review Of Another Engineer's Work,6,2
original,20,Review of Other  Engineer’s Work,127,Employment—Questioning Ability Of Former Employer,1,2
original,22,Sharing As-Built Drawings,97,Confidentiality of Engineering Report,3,3
original,22,Sharing As-Built Drawings,98,Confidentiality – Discussion with Potential Bidding Contractor,1,3
original,22,Sharing As-Built Drawings,99,Professional Selection—Receipt of Submission Beyond the Published Deadline,16,3
original,56,Unlicensed Practice by Nonengineers with “Engineer” in Job Titles,131,Advertising - Misstating Credentials,11,2
original,56,Unlicensed Practice by Nonengineers with “Engineer” in Job Titles,77,Engineering Titles - Use Of Engineering Title By Nonengineers,26,2
original,57,Duty to Report –  Material Information,132,Public Health and Safety— Observed Structural Defects and Inspection by County Building Official,5,4
original,57,Duty to Report –  Material Information,133,Public Health and Safety—Knowledge of Potentially Dangerous Condition,33,4
original,57,Duty to Report –  Material Information,78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",4,4
original,57,Duty to Report –  Material Information,79,Public Health And Safety - Code Enforcement,20,4
original,58,Public Welfare at What Cost?,79,Public Health And Safety - Code Enforcement,7,3
original,58,Public Welfare at What Cost?,134,Statements Made During Negotiations,77,3
original,58,Public Welfare at What Cost?,135,Engineer Misstating Professional Achievements on Resume,117,3
original,59,"Protecting Public Health,  Safety, and Welfare",72,Public Welfare - Knowledge of Information Damaging to Client's Interest,51,3
original,59,"Protecting Public Health,  Safety, and Welfare",136,Failure To Report Information Affecting Public Safety,30,3
original,59,"Protecting Public Health,  Safety, and Welfare",78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",25,3
original,60,Misrepresentation of  Qualifications,77,Engineering Titles - Use Of Engineering Title By Nonengineers,42,4
original,60,Misrepresentation of  Qualifications,128,Advertising — Use of Business Cards—P.E. Designation,55,4
original,60,Misrepresentation of  Qualifications,129,Expert Witness—Chair of Standards and Safety Committee,2,4
original,60,Misrepresentation of  Qualifications,130,Job Qualifications—Disclosure of Material Fact,11,4
original,72,Public Welfare - Knowledge of Information Damaging to Client's Interest,82,Criticism of Engineering in Products,13,1
original,73,"Public Safety, Health, and Welfare:  Avoiding Rolling Blackouts",79,Public Health And Safety - Code Enforcement,2,3
original,73,"Public Safety, Health, and Welfare:  Avoiding Rolling Blackouts",76,"Public Health, Safety, and Welfare—Drinking Water Quality",13,3
original,73,"Public Safety, Health, and Welfare:  Avoiding Rolling Blackouts",165,"Public Health, Safety, and Welfare—Driverless/Autonomous Vehicle",75,3
original,74,Professional Competence In Current Structural Design,109,Competence To Certify Arms Storage Rooms,4,3
original,74,Professional Competence In Current Structural Design,110,Competence To Perform Foundation Design,17,3
original,74,Professional Competence In Current Structural Design,158,P.E. Requirement for County Surveyor Position,84,3
original,75,Obligation to Former Employer and  Former Client Following Acceptance of Position with State,179,Expert Witness Testimony - Serving Plaintiffs And Defendants,1,1
original,76,"Public Health, Safety, and Welfare—Drinking Water Quality",137,Public Welfare—Bridge Structure,42,3
original,76,"Public Health, Safety, and Welfare—Drinking Water Quality",132,Public Health and Safety— Observed Structural Defects and Inspection by County Building Official,13,3
original,76,"Public Health, Safety, and Welfare—Drinking Water Quality",84,Duty To Report Safety Violations,84,3
original,78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",137,Public Welfare—Bridge Structure,77,5
original,78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",84,Duty To Report Safety Violations,49,5
original,78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",136,Failure To Report Information Affecting Public Safety,14,5
original,78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",149,Public Welfare - Hazardous Waste,92,5
original,78,"Public Health, Safety and Welfare—Discovery of Structural Defect Affecting Subdivision",133,Public Health and Safety—Knowledge of Potentially Dangerous Condition,2,5
original,79,Public Health And Safety - Code Enforcement,175,Public Welfare - Duty Of Government Engineer,4,4
original,79,Public Health And Safety - Code Enforcement,160,Participation in Production of Unsafe Equipment,12,4
original,79,Public Health And Safety - Code Enforcement,157,Whistleblowing,17,4
original,79,Public Health And Safety - Code Enforcement,92,Whistleblowing - City Engineer,1,4
original,83,Sustainable Development—Threatened Species,84,Duty To Report Safety Violations,43,3
original,83,Sustainable Development—Threatened Species,100,Duty To Report Unrelated Information Observed During Rendering Of Services,33,3
original,83,Sustainable Development—Threatened Species,86,Public Welfare—Client Action Following Engineers Services,8,3
original,84,Duty To Report Safety Violations,97,Confidentiality of Engineering Report,2,3
original,84,Duty To Report Safety Violations,172,Objectivity of Engineer Retained as Expert,10,3
original,84,Duty To Report Safety Violations,89,"Engineer's Recommendation For Full-Time, On-Site Project Representative",39,3
original,85,"Incomplete Plans and Specifications – Engineer, Government, and Contractor Responsibilities",157,Whistleblowing,2,1
original,86,Public Welfare—Client Action Following Engineers Services,84,Duty To Report Safety Violations,49,2
original,86,Public Welfare—Client Action Following Engineers Services,100,Duty To Report Unrelated Information Observed During Rendering Of Services,10,2
original,87,Public Health and Safety—Building Codes to Address Environmental Risk,86,Public Welfare—Client Action Following Engineers Services,1,2
original,87,Public Health and Safety—Building Codes to Address Environmental Risk,83,Sustainable Development—Threatened Species,80,2
original,88,"Public Health, Safety, and  Welfare–Climate Change Induced Conditions",87,Public Health and Safety—Building Codes to Address Environmental Risk,1,1
original,91,Gifts To Foreign Officials - Application Of Code Of Ethics To Non-U.S. Engineers,167,Gifts to Foreign Officials,103,1
original,92,Whistleblowing - City Engineer,160,Participation in Production of Unsafe Equipment,8,2
original,92,Whistleblowing - City Engineer,157,Whistleblowing,11,2
original,93,Withholding Information Useful to Client/Public Agency,181,Peer Review - Confidentiality Agreements,24,1
original,94,Failure to Disclose Full Impact of Development,124,Public Criticism of Proposed Public Highway Route,61,3
original,94,Failure to Disclose Full Impact of Development,114,Conflicting Engineering Opinions,56,3
original,94,Failure to Disclose Full Impact of Development,113,Public Criticism - Environmental Concerns,59,3
original,96,Conflict of Interest—Peer Reviewer Participating on Subsequent Joint Venture,181,Peer Review - Confidentiality Agreements,1,2
original,96,Conflict of Interest—Peer Reviewer Participating on Subsequent Joint Venture,177,Conflict Of Interest Providing Both City Engineer And Inspection Services,61,2
original,98,Confidentiality – Discussion with Potential Bidding Contractor,176,Engineer's Duty As Interpreter Of Contract Documents,58,1
original,99,Professional Selection—Receipt of Submission Beyond the Published Deadline,141,Selection of Firm—FOIA Request,2,1
original,100,Duty To Report Unrelated Information Observed During Rendering Of Services,84,Duty To Report Safety Violations,16,1
original,105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,103,Conflict of Interest - Part-Time Service as City Engineer,54,3
original,105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,104,Conflict of Interest - Municipal Engineer,99,3
original,105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,164,Conflict Of Interest—Consultant Serving As City Engineer,1,3
original,106,Confidentiality of Competitor Information Submitted to Government Agency,104,Conflict of Interest - Municipal Engineer,106,3
original,106,Confidentiality of Competitor Information Submitted to Government Agency,170,Conflict of Interest - Expert Witness for Contractor,73,3
original,106,Confidentiality of Competitor Information Submitted to Government Agency,172,Objectivity of Engineer Retained as Expert,6,3
