source_id,source_title,target_id,target_title,rank,weighted_similarity,sim_R,sim_P,sim_O,sim_S,sim_Rs,sim_A,sim_E,sim_Ca,sim_Cs
19,Duty to Report Misconduct,60,Misrepresentation of  Qualifications,1,0.6159,0.5598,0.752,0.634,0.6606,0.697,0.3017,0.5381,0.6441,0.6151
19,Duty to Report Misconduct,141,Selection of Firm—FOIA Request,2,0.6573,0.7211,0.6432,0.6795,0.6617,0.6326,0.7188,0.532,0.676,0.6124
19,Duty to Report Misconduct,128,Advertising — Use of Business Cards—P.E. Designation,3,0.5769,0.6657,0.6943,0.5274,0.4988,0.7171,0.3914,0.3521,0.6889,0.5235
19,Duty to Report Misconduct,17,Siting a Truck Stop,4,0.5841,0.6821,0.6152,0.6068,0.6125,0.5576,0.4779,0.3545,0.6529,0.6163
19,Duty to Report Misconduct,11,Excess Stormwater Runoff,5,0.5303,0.4909,0.5281,0.6043,0.5191,0.682,0.448,0.3414,0.536,0.5667
19,Duty to Report Misconduct,105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,6,0.5633,0.6177,0.5416,0.566,0.5389,0.6876,0.4849,0.5045,0.5639,0.5619
19,Duty to Report Misconduct,135,Engineer Misstating Professional Achievements on Resume,7,0.5418,0.5861,0.5138,0.6201,0.5969,0.6106,0.3548,0.3438,0.5452,0.672
19,Duty to Report Misconduct,10,Post-Public Employment - City Engineer Transitioning to Consultant,8,0.5357,0.6757,0.5017,0.5236,0.5238,0.516,0.4801,0.3945,0.6192,0.6104
19,Duty to Report Misconduct,56,Unlicensed Practice by Nonengineers with “Engineer” in Job Titles,9,0.6132,0.6823,0.6531,0.5905,0.6821,0.7534,0.4241,0.3692,0.6732,0.6194
19,Duty to Report Misconduct,82,Criticism of Engineering in Products,10,0.5832,0.6856,0.4952,0.5917,0.5999,0.687,0.4266,0.5498,0.7128,0.5994
105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,10,Post-Public Employment - City Engineer Transitioning to Consultant,1,0.6007,0.7751,0.5778,0.6268,0.6378,0.7528,0.2821,0.4364,0.6261,0.6511
105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,11,Excess Stormwater Runoff,2,0.5706,0.6141,0.5955,0.6331,0.5215,0.7488,0.3923,0.3495,0.5258,0.6474
105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,164,Conflict Of Interest—Consultant Serving As City Engineer,3,0.6572,0.7271,0.6733,0.7238,0.7377,0.8098,0.2852,0.5658,0.6728,0.6386
105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,141,Selection of Firm—FOIA Request,4,0.5425,0.6064,0.5257,0.5752,0.6348,0.6877,0.3769,0.3402,0.6018,0.4877
105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,177,Conflict Of Interest Providing Both City Engineer And Inspection Services,5,0.5989,0.7473,0.626,0.6019,0.6891,0.6301,0.357,0.2971,0.6365,0.7222
105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,96,Conflict of Interest—Peer Reviewer Participating on Subsequent Joint Venture,6,0.5825,0.635,0.6003,0.6158,0.6304,0.7879,0.3021,0.4159,0.55,0.6262
105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,117,Selection of Firm—Promise of Future Engineering Work on a Public Project,7,0.6197,0.6567,0.6662,0.6685,0.6279,0.6933,0.5311,0.4411,0.6031,0.5583
105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,176,Engineer's Duty As Interpreter Of Contract Documents,8,0.5737,0.6119,0.6461,0.566,0.572,0.6709,0.3308,0.4686,0.6563,0.5663
105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,129,Expert Witness—Chair of Standards and Safety Committee,9,0.5261,0.4396,0.5486,0.5288,0.6924,0.6275,0.3727,0.3452,0.6312,0.541
105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,93,Withholding Information Useful to Client/Public Agency,10,0.5464,0.5661,0.6273,0.5604,0.5638,0.687,0.2758,0.3362,0.6207,0.5739
141,Selection of Firm—FOIA Request,98,Confidentiality – Discussion with Potential Bidding Contractor,1,0.5182,0.5773,0.5097,0.4756,0.6374,0.5805,0.3354,0.4191,0.6247,0.5387
141,Selection of Firm—FOIA Request,164,Conflict Of Interest—Consultant Serving As City Engineer,2,0.5297,0.5724,0.5633,0.5169,0.5525,0.6003,0.3753,0.4194,0.6029,0.5287
141,Selection of Firm—FOIA Request,22,Sharing As-Built Drawings,3,0.5588,0.6507,0.7144,0.4524,0.5403,0.5955,0.2879,0.4347,0.6355,0.6047
141,Selection of Firm—FOIA Request,105,Reviewing Work of Another Engineer and Thereafter Performing Engineering Services for Client,4,0.5425,0.6064,0.5257,0.5752,0.6348,0.6877,0.3769,0.3402,0.6018,0.4877
141,Selection of Firm—FOIA Request,162,Post lnterview Change in Joint Venture Team,5,0.5735,0.6497,0.6128,0.5577,0.6286,0.6362,0.402,0.4467,0.5957,0.565
141,Selection of Firm—FOIA Request,10,Post-Public Employment - City Engineer Transitioning to Consultant,6,0.5925,0.6152,0.6764,0.6018,0.6033,0.6102,0.3991,0.3891,0.6337,0.7043
141,Selection of Firm—FOIA Request,126,Appropriate Notification And Review Of Another Engineer's Work,7,0.5847,0.7152,0.4862,0.6199,0.6484,0.6117,0.5998,0.4567,0.5872,0.5631
141,Selection of Firm—FOIA Request,179,Expert Witness Testimony - Serving Plaintiffs And Defendants,8,0.5369,0.5884,0.502,0.6236,0.5759,0.6214,0.4257,0.2985,0.6047,0.5478
141,Selection of Firm—FOIA Request,177,Conflict Of Interest Providing Both City Engineer And Inspection Services,9,0.5005,0.6053,0.4742,0.4697,0.5452,0.5085,0.4583,0.3938,0.5515,0.5155
141,Selection of Firm—FOIA Request,117,Selection of Firm—Promise of Future Engineering Work on a Public Project,10,0.592,0.651,0.6424,0.5734,0.6833,0.6509,0.4226,0.3766,0.6365,0.6123
