source_case_id,source_title,cited_case_id,cited_title,section_rank,combined_rank,component_rank,pool_size
4,Sustainable Development and Resilient Infrastructure,73,"Public Safety, Health, and Welfare:  Avoiding Rolling Blackouts",73,41,45,118
4,Sustainable Development and Resilient Infrastructure,13,Sustainability -  Lawn Irrigation Design,1,2,2,118
4,Sustainable Development and Resilient Infrastructure,123,Engineer’s Obligation to Consider Feasible Options,12,6,6,118
4,Sustainable Development and Resilient Infrastructure,124,Public Criticism of Proposed Public Highway Route,50,27,28,118
4,Sustainable Development and Resilient Infrastructure,125,Endorsement of Project by Local Chapter,53,37,35,118
5,Community Engagement for Infrastructure Projects,90,Case Number 60-3,89,97,93,118
5,Community Engagement for Infrastructure Projects,91,Gifts To Foreign Officials - Application Of Code Of Ethics To Non-U.S. Engineers,28,34,30,118
5,Community Engagement for Infrastructure Projects,92,Whistleblowing - City Engineer,3,6,6,118
5,Community Engagement for Infrastructure Projects,93,Withholding Information Useful to Client/Public Agency,46,46,47,118
5,Community Engagement for Infrastructure Projects,73,"Public Safety, Health, and Welfare:  Avoiding Rolling Blackouts",51,29,24,118
6,Public Contracting Practices,117,Selection of Firm—Promise of Future Engineering Work on a Public Project,52,50,63,118
6,Public Contracting Practices,118,Protest of Low Fee Proposal,12,19,22,118
6,Public Contracting Practices,56,Unlicensed Practice by Nonengineers with “Engineer” in Job Titles,39,36,42,118
6,Public Contracting Practices,10,Post-Public Employment - City Engineer Transitioning to Consultant,47,23,24,118
6,Public Contracting Practices,102,Case Number 58-1,100,78,83,118
6,Public Contracting Practices,60,Misrepresentation of  Qualifications,70,81,84,118
7,Use of Artificial Intelligence in Engineering Practice,120,Use Of Cadd System,4,5,8,118
7,Use of Artificial Intelligence in Engineering Practice,121,Use Of CD-ROM For Highway Design,12,16,18,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,18,Professional Responsibility if  Appropriate Authority Fails to Act,4,5,5,118
8,Balancing Client Directives and Public Welfare: Stormwater Management Dilemma,76,"Public Health, Safety, and Welfare—Drinking Water Quality",2,1,1,118
